Date,Open,High,Low,Close
17/07/2010,0.04951,0.04951,0.04951,0.04951
18/07/2010,0.04951,0.08585,0.05941,0.08584
19/07/2010,0.08584,0.09307,0.07723,0.0808
20/07/2010,0.0808,0.08181,0.07426,0.07474
21/07/2010,0.07474,0.07921,0.06634,0.07921
22/07/2010,0.07921,0.08181,0.0505,0.0505
23/07/2010,0.0505,0.06767,0.0505,0.06262
24/07/2010,0.06262,0.06161,0.05049,0.05454
25/07/2010,0.05454,0.05941,0.0505,0.0505
26/07/2010,0.0505,0.056,0.05,0.056
27/07/2010,0.056,0.0605,0.053,0.06
28/07/2010,0.06,0.062,0.054,0.0589
29/07/2010,0.0589,0.0699,0.0571,0.0699
30/07/2010,0.0699,0.0698,0.0582,0.0627
31/07/2010,0.0627,0.06889,0.056,0.06785
01/08/2010,0.06785,0.065,0.06,0.0611
02/08/2010,0.0611,0.0633,0.06,0.06
03/08/2010,0.06,0.065,0.059,0.06
04/08/2010,0.06,0.06231,0.057,0.057
05/08/2010,0.057,0.061,0.058,0.061
06/08/2010,0.061,0.0624,0.0607,0.0623
07/08/2010,0.0623,0.0622,0.059,0.059
08/08/2010,0.059,0.061,0.059,0.0609
09/08/2010,0.0609,0.0735,0.0593,0.071
10/08/2010,0.071,0.0709,0.06651,0.07
11/08/2010,0.07,0.07541,0.06,0.067
12/08/2010,0.067,0.07,0.06141,0.07
13/08/2010,0.07,0.068,0.0645,0.0645
14/08/2010,0.0645,0.0695,0.0645,0.067
15/08/2010,0.067,0.067,0.065,0.06529
16/08/2010,0.06529,0.0679,0.062,0.0655
17/08/2010,0.0655,0.0769,0.06243,0.07
18/08/2010,0.07,0.0733,0.067,0.068
19/08/2010,0.068,0.0679,0.0667,0.0667
20/08/2010,0.0667,0.0667,0.065,0.0655
21/08/2010,0.0655,0.0669,0.0644,0.0664
22/08/2010,0.0664,0.0664,0.0612,0.066
23/08/2010,0.066,0.06689,0.063,0.06491
24/08/2010,0.06491,0.0665,0.06491,0.065
25/08/2010,0.065,0.0665,0.0641,0.0648
26/08/2010,0.0648,0.0658,0.064,0.064
27/08/2010,0.064,0.065,0.063,0.065
28/08/2010,0.065,0.065,0.0641,0.0641
29/08/2010,0.0641,0.0648,0.064,0.064
30/08/2010,0.064,0.069,0.03211,0.06497
31/08/2010,0.06497,0.0649,0.06,0.06
01/09/2010,0.06,0.0629,0.05961,0.0629
02/09/2010,0.0629,0.0634,0.0601,0.0634
03/09/2010,0.0634,0.063,0.06085,0.06085
04/09/2010,0.06085,0.06238,0.0612,0.06238
05/09/2010,0.06238,0.064,0.0605,0.0616
06/09/2010,0.0616,0.0627,0.0616,0.0616
07/09/2010,0.0616,0.06201,0.0603,0.061
08/09/2010,0.061,0.062,0.06099,0.062
09/09/2010,0.062,0.0624,0.06109,0.06111
10/09/2010,0.06111,0.0618,0.06014,0.0618
11/09/2010,0.0618,0.065,0.0619,0.06366
12/09/2010,0.06366,0.0621,0.0615,0.0615
13/09/2010,0.0615,0.064,0.0607,0.06219
14/09/2010,0.06219,0.175,0.061,0.06199
